# P(bar),Veb,Vrosee(m^3/kg)
5.184823077911733691e+00	8.486225425252781141e-04	7.260045347317629905e-02
5.253472526982893243e+00	8.494065816864059979e-04	7.169449769019109464e-02
5.322121976054052794e+00	8.501854550449652968e-04	7.081101606287554251e-02
5.390771425125212346e+00	8.509592831199418606e-04	6.994917121745421185e-02
5.459420874196371010e+00	8.517281822496640918e-04	6.910816713473361128e-02
5.528070323267531450e+00	8.524922647883037465e-04	6.828724661879397029e-02
5.596719772338690113e+00	8.532516392908205509e-04	6.748568894981148147e-02
5.665369221409850553e+00	8.540064106871445926e-04	6.670280770554876115e-02
5.734018670481009217e+00	8.547566804463643201e-04	6.593794873751354646e-02
5.802668119552169657e+00	8.555025467316046059e-04	6.519048828909480842e-02
5.871317568623328320e+00	8.562441045462143878e-04	6.445983124418563914e-02
5.939967017694487872e+00	8.569814458718553194e-04	6.374540949583200333e-02
6.008616466765647424e+00	8.577146597990418803e-04	6.304668042539536554e-02
6.077265915836806975e+00	8.584438326505927554e-04	6.236312548359644603e-02
6.145915364907965639e+00	8.591690480984937343e-04	6.169424886553049464e-02
6.214564813979126079e+00	8.598903872745714428e-04	6.103957627247560969e-02
6.283214263050284742e+00	8.606079288753659424e-04	6.039865375391524627e-02
6.351863712121443406e+00	8.613217492615839448e-04	5.977104662376876015e-02
6.420513161192603846e+00	8.620319225524580116e-04	5.915633844532617452e-02
6.489162610263762510e+00	8.627385207153243129e-04	5.855413007985760254e-02
6.557812059334922949e+00	8.634416136507146091e-04	5.796403879427015210e-02
6.626461508406081613e+00	8.641412692732153983e-04	5.738569742358449327e-02
6.695110957477242053e+00	8.648375535883834949e-04	5.681875358431372897e-02
6.763760406548400717e+00	8.655305307658961748e-04	5.626286893519440169e-02
6.832409855619560268e+00	8.662202632092093216e-04	5.571771848194313759e-02
6.901059304690719820e+00	8.669068116218849041e-04	5.518298992302471395e-02
6.969708753761879372e+00	8.675902350708028900e-04	5.465838303362178380e-02
7.038358202833038924e+00	8.682705910464103612e-04	5.414360908522981158e-02
7.107007651904197587e+00	8.689479355202085146e-04	5.363839029848427309e-02
7.175657100975357139e+00	8.696223229995875964e-04	5.314245932702905961e-02
7.244306550046517579e+00	8.702938065801951685e-04	5.265555877037540744e-02
7.312955999117676242e+00	8.709624379959384280e-04	5.217744071387769855e-02
